iter	Passed	Remaining
411	3593	5128
412	3601	5118
413	3607	5105
414	3614	5095
415	3621	5083
416	3628	5073
417	3634	5060
418	3641	5049
419	3648	5038
420	3655	5026
421	3663	5017
422	3671	5008
423	3680	4999
424	3686	4987
425	3694	4977
426	3700	4966
427	3707	4954
428	3715	4945
429	3721	4932
430	3729	4923
431	3735	4911
432	3743	4902
433	3749	4890
434	3756	4878
435	3765	4870
436	3771	4859
437	3780	4850
438	3786	4839
439	3794	4829
440	3800	4817
441	3808	4807
442	3814	4796
443	3821	4785
444	3828	4775
445	3835	4763
446	3842	4753
447	3849	4743
448	3857	4733
449	3863	4722
450	3869	4710
451	3878	4702
452	3885	4692
453	3894	4683
454	3900	4672
455	3908	4662
456	3914	4651
457	3923	4642
458	3929	4631
459	3935	4620
460	3944	4611
461	3950	4600
462	3958	4591
463	3965	4580
464	3973	4571
465	3979	4560
466	3987	4551
467	3993	4539
468	3999	4528
469	4007	4518
470	4014	4508
471	4022	4499
472	4028	4488
473	4036	4479
474	4042	4467
475	4048	4456
476	4056	4447
477	4062	4435
478	4069	4426
479	4076	4415
480	4082	4404
481	4089	4394
482	4096	4384
483	4103	4374
484	4109	4364
485	4115	4353
486	4123	4343
487	4129	4332
488	4136	4322
489	4142	4311
490	4151	4303
491	4157	4292
492	4163	4281
493	4170	4272
494	4176	4261
495	4184	4252
496	4190	4241
497	4196	4230
498	4204	4220
499	4210	4210
500	4217	4200
501	4223	4190
502	4231	4181
503	4239	4171
504	4246	4162
505	4254	4153
506	4260	4143
507	4268	4133
508	4275	4124
509	4283	4115
510	4289	4105
511	4297	4095
512	4303	4085
513	4309	4075
514	4317	4065
515	4323	4055
516	4330	4045
517	4336	4035
518	4343	4025
519	4351	4016
520	4357	4006
521	4366	3998
522	4374	3989
523	4381	3980
524	4387	3970
525	4396	3962
526	4403	3951
527	4409	3941
528	4416	3932
529	4423	3922
530	4430	3913
531	4436	3903
532	4445	3894
533	4451	3884
534	4458	3874
535	4464	3865
536	4470	3854
537	4478	3845
538	4484	3835
539	4490	3825
540	4498	3816
541	4504	3806
542	4511	3797
543	4517	3787
544	4524	3777
545	4531	3767
546	4538	3758
547	4545	3749
548	4558	3744
549	4565	3735
550	4573	3727
551	4581	3718
552	4587	3708
553	4598	3701
554	4604	3691
555	4613	3684
556	4622	3676
557	4629	3667
558	4638	3659
559	4646	3650
560	4654	3642
561	4662	3633
562	4671	3625
563	4679	3617
564	4688	3609
565	4695	3600
566	4705	3593
567	4712	3584
568	4721	3576
569	4729	3567
570	4738	3559
571	4745	3551
572	4755	3544
573	4762	3534
574	4771	3527
575	4779	3517
576	4787	3509
577	4794	3500
578	4802	3491
579	4808	3482
580	4814	3472
581	4823	3464
582	4830	3454
583	4838	3446
584	4844	3436
585	4853	3428
586	4859	3419
587	4868	3411
588	4876	3402
589	4884	3394
590	4891	3385
591	4899	3376
592	4906	3367
593	4912	3357
594	4923	3351
595	4932	3343
596	4939	3334
597	4947	3326
598	4954	3317
599	4961	3307
600	4970	3299
601	4976	3289
602	4984	3281
603	4990	3271
604	4998	3263
605	5004	3253
606	5010	3244
607	5017	3235
608	5024	3225
609	5032	3217
610	5038	3207
611	5046	3199
612	5052	3189
613	5061	3181
614	5069	3173
615	5076	3164
616	5083	3155
617	5089	3145
618	5099	3138
619	5105	3129
620	5113	3120
621	5119	3111
622	5127	3103
623	5134	3093
624	5142	3085
625	5148	3076
626	5155	3066
627	5163	3058
628	5169	3049
629	5177	3041
630	5184	3031
631	5192	3023
632	5198	3014
633	5204	3004
634	5212	2996
635	5219	2987
636	5228	2979
637	5234	2970
638	5242	2961
639	5249	2952
640	5256	2944
641	5263	2935
642	5269	2925
643	5277	2917
644	5283	2908
645	5290	2899
646	5297	2890
647	5304	2881
648	5312	2873
649	5318	2863
650	5327	2855
651	5333	2846
652	5342	2839
653	5349	2830
654	5357	2821
655	5363	2812
656	5371	2804
657	5378	2795
658	5384	2785
659	5391	2777
660	5399	2769
661	5407	2760
662	5413	2751
663	5420	2742
664	5426	2733
665	5433	2724
666	5442	2717
667	5449	2708
668	5458	2700
669	5464	2691
670	5472	2683
671	5478	2674
672	5486	2665
673	5492	2656
674	5498	2647
675	5506	2639
676	5512	2629
677	5519	2621
678	5525	2612
679	5533	2604
680	5539	2595
681	5546	2586
682	5554	2577
683	5560	2568
684	5567	2560
685	5573	2551
686	5580	2542
687	5586	2533
688	5593	2524
689	5600	2516
690	5606	2507
691	5615	2499
692	5622	2490
693	5629	2482
694	5636	2473
695	5643	2464
696	5651	2456
697	5657	2447
698	5667	2440
699	5673	2431
700	5682	2423
701	5688	2414
702	5697	2406
703	5703	2397
704	5709	2388
705	5718	2381
706	5725	2372
707	5733	2364
708	5739	2355
709	5748	2347
