iter	Logloss
299	0.2327144718
300	0.2324564126
301	0.2322552975
302	0.232132016
303	0.2320131953
304	0.2316723208
305	0.2314825037
306	0.2308762658
307	0.2306180346
308	0.2303750213
309	0.2302107318
310	0.2300122643
311	0.229852711
312	0.2297145575
313	0.229491406
314	0.2293486241
315	0.2292581396
316	0.2291053322
317	0.2288594955
318	0.2286706125
319	0.2283263613
320	0.2282433215
321	0.2280411272
322	0.2278317319
323	0.227641783
324	0.2273531424
325	0.2271183418
326	0.2269383276
327	0.2268033985
328	0.2266617998
329	0.2265585087
330	0.2264162069
331	0.2261052223
332	0.2259146047
333	0.2257839711
334	0.2256651324
335	0.2254666862
336	0.2251874178
337	0.2250192931
338	0.2248106355
339	0.2247006464
340	0.2245380306
341	0.2243570384
342	0.2239980844
343	0.2238714926
344	0.22369778
345	0.2234947803
346	0.2232133093
347	0.22308091
348	0.2228771432
349	0.2226560644
350	0.2224864972
351	0.2223883537
352	0.2222791327
353	0.2219419048
354	0.2217188135
355	0.2215640032
356	0.2214210515
357	0.221258774
358	0.2209935485
359	0.2207071382
360	0.2205491576
361	0.220367908
362	0.2199831067
363	0.2198243082
364	0.2196722631
365	0.2194575342
366	0.2192736347
367	0.2191166467
368	0.218794968
369	0.218635763
370	0.2185283168
371	0.2183796032
372	0.2181912853
373	0.2179886679
374	0.2178351488
375	0.2175334768
376	0.2172689093
377	0.217058573
378	0.2169286417
379	0.2168229745
380	0.2165015666
381	0.2163228815
382	0.2160014178
383	0.2157443841
384	0.2154670425
385	0.2153086435
386	0.2151822835
387	0.2149967494
388	0.214839778
389	0.2147228708
390	0.2145877447
391	0.2144248583
392	0.2142669931
393	0.2141673718
394	0.2138929904
395	0.2137189494
396	0.2136126962
397	0.2132826385
398	0.2128718503
399	0.2126686309
400	0.2125363072
401	0.2123663209
402	0.2121413094
403	0.211957509
404	0.2116963854
405	0.2115934161
406	0.2114583293
407	0.2113128641
408	0.2111310209
409	0.2109951222
410	0.2108897995
411	0.2107942889
412	0.2106660686
413	0.2104444207
414	0.2100903861
415	0.2100019481
416	0.2097669636
417	0.2095766539
418	0.2094558918
419	0.2093753407
420	0.2091704407
421	0.2089356652
422	0.2087035783
423	0.2085838269
424	0.2084605019
425	0.2082778856
426	0.208162712
427	0.2079119479
428	0.2077182196
429	0.2075818713
430	0.2074956501
431	0.207344275
432	0.2072069464
433	0.2070392594
434	0.2069370029
435	0.2067346854
436	0.2065892147
437	0.2064892156
438	0.2062142656
439	0.2061146709
440	0.2059806913
441	0.2058233891
442	0.2057198252
443	0.2055540205
444	0.2054141059
445	0.2053075394
446	0.2052002709
447	0.2050654403
448	0.2048600941
449	0.2047182816
450	0.2045817354
451	0.204436722
452	0.2043023536
453	0.2041628601
454	0.2040693591
455	0.2039179923
456	0.203795195
457	0.2036957817
458	0.203598492
459	0.2034643296
460	0.2033884837
461	0.2032286549
462	0.2031151816
463	0.2029926504
464	0.2028738411
465	0.2027550351
466	0.2026532662
467	0.2025786391
468	0.202386453
469	0.2022696334
470	0.2021372626
471	0.2020276806
472	0.2018811951
473	0.2017629345
474	0.2016808317
475	0.2015073488
476	0.2013714588
477	0.2011557759
478	0.2009993565
479	0.2008744707
480	0.2007698556
481	0.2006529724
482	0.2005653779
483	0.2004590152
484	0.2002838489
485	0.2001711259
486	0.2000361448
487	0.1998984976
488	0.199769905
489	0.1996725673
490	0.1995431102
491	0.1994448343
492	0.1993619219
493	0.1992306507
494	0.1991249188
495	0.1989375252
496	0.1988368592
497	0.1986629222
498	0.1985350318
499	0.1983221345
500	0.1982069468
501	0.1980401085
502	0.1979628449
503	0.19784862
504	0.1977108963
505	0.1975709305
506	0.1974128374
507	0.1972677348
508	0.197170712
509	0.1970710608
510	0.1969869958
511	0.1968593859
512	0.1966929944
513	0.1966179108
514	0.1965226364
515	0.1963989331
516	0.1962602865
517	0.1961697342
518	0.1959886102
519	0.1957932683
520	0.1956789323
521	0.1955499574
522	0.1954679087
523	0.1953572795
524	0.1951950402
525	0.1949439151
526	0.1948055763
527	0.194638547
528	0.1944753107
529	0.194317934
530	0.1941703191
531	0.1940745879
532	0.1939616008
533	0.1938582768
534	0.1937343229
535	0.1935721343
536	0.1934101857
537	0.193330268
538	0.1932279622
539	0.1931451086
540	0.1930580897
541	0.1929553015
542	0.1928213712
543	0.1926461343
544	0.1924755318
545	0.1923016113
546	0.1920720217
547	0.1919272709
548	0.1917900499
549	0.191680645
550	0.1916085723
551	0.1915103638
552	0.1914049408
553	0.1912881681
554	0.1910745489
555	0.1909704378
556	0.1908527217
557	0.1907769357
558	0.1906451956
559	0.1905062126
560	0.1903739115
561	0.1902342389
562	0.1900780695
563	0.189983762
564	0.1899000607
565	0.1897871083
566	0.1896149814
567	0.1895522213
568	0.1894455931
569	0.1893492951
570	0.189285313
571	0.1891760085
572	0.18903653
573	0.1889353578
574	0.1888408862
575	0.1887763651
576	0.1886716746
577	0.1885824256
578	0.1884825513
579	0.1883947444
580	0.1883039746
581	0.1881685703
582	0.1880572129
583	0.1879468681
584	0.1878274068
585	0.1876964822
586	0.1876346629
587	0.1875622903
588	0.1874381098
589	0.1873301197
590	0.1872400909
591	0.1871574654
592	0.1869768647
593	0.1869131221
594	0.1868199805
595	0.1867353787
596	0.1866663844
597	0.186583787
598	0.1864092571
599	0.1862453498
600	0.1861319108
601	0.1860689163
602	0.185954798
603	0.185879715
604	0.1857464365
605	0.1856251555
606	0.1855429897
607	0.1854364471
608	0.1852736299
609	0.1851863893
610	0.1851165348
611	0.1849629551
612	0.1847831746
613	0.1846230956
614	0.1845216592
615	0.1844154865
616	0.184350054
617	0.1841984256
618	0.1841039884
619	0.1839464514
620	0.1838817105
621	0.1837919229
622	0.1836707884
623	0.1836111699
624	0.1835230327
625	0.183376453
626	0.1831914827
627	0.1831091725
628	0.183013405
629	0.1829390335
630	0.1828402183
631	0.1827611044
632	0.1826463892
633	0.1825250325
634	0.1824666259
635	0.1823831058
636	0.1823207282
637	0.1822076004
638	0.1821134851
639	0.1819551634
640	0.1818669513
641	0.181762993
642	0.1817001206
643	0.1816027059
644	0.1814073869
645	0.1813180515
646	0.1812390196
647	0.1811583659
648	0.1810610096
649	0.1809785777
650	0.1809177818
651	0.1808299363
652	0.1806813836
653	0.1806133471
654	0.1804914897
655	0.1804186286
656	0.1803365914
657	0.1802376686
658	0.1801338807
659	0.1800384062
660	0.1799243763
661	0.1798363399
662	0.1797521831
663	0.1797123013
664	0.1795524955
665	0.1794473956
666	0.1793202845
667	0.1792178142
668	0.1791321384
669	0.1790476868
670	0.1789614303
671	0.1789061142
672	0.178811619
673	0.17875124
674	0.1786675407
675	0.1785306194
676	0.1784664196
677	0.1783467138
678	0.1783041136
679	0.1782518817
680	0.1781367678
681	0.1780346525
682	0.1779279678
683	0.1778528446
684	0.177787216
685	0.1777244718
686	0.1776549973
687	0.177524598
688	0.177421966
689	0.1773154145
690	0.1771657422
691	0.177105423
692	0.1770081927
693	0.1768886743
694	0.1768076467
695	0.1767095579
696	0.1766508841
697	0.1765555785
698	0.1764459218
699	0.1762857658
700	0.1761849701
701	0.1761018264
702	0.1760107177
703	0.1759302618
704	0.1758629085
705	0.1757812572
706	0.1756635774
707	0.1755832696
708	0.1754556801
709	0.175336541
710	0.1752707764
711	0.1751443955
712	0.1750456688
713	0.1749750992
714	0.1749077093
715	0.1747415708
716	0.1746114531
717	0.1744560114
718	0.1743333993
719	0.1742559645
720	0.1741655052
721	0.1740550926
722	0.1739262678
723	0.1738728191
724	0.1738081919
725	0.1737268006
726	0.1736162125
727	0.1735263252
728	0.1734264186
729	0.1733604167
730	0.1732522666
731	0.1731542123
732	0.1730789926
733	0.1729940815
734	0.1728714077
735	0.1727816919
736	0.1727088926
737	0.1726385767
738	0.1725418416
739	0.1724356108
740	0.1723429965
741	0.17229535
742	0.1722067316
743	0.1721232188
744	0.1720187814
745	0.1719649292
746	0.1718881439
747	0.1717738385
748	0.17169726
749	0.1716350811
750	0.1715501525
751	0.1714882411
752	0.1713997072
753	0.1713199194
754	0.1712203734
755	0.1711693858
756	0.1710992037
757	0.1710476744
758	0.1709517858
759	0.1708718329
760	0.1708203851
761	0.1707356812
762	0.170641474
763	0.1705496794
764	0.1704542377
765	0.1703211119
766	0.1702434566
767	0.1701526229
768	0.1700681565
769	0.1699950905
770	0.1699261042
771	0.1698750485
772	0.1698004495
773	0.169707881
774	0.1696395719
775	0.1695770411
776	0.1694913502
777	0.1694089114
778	0.1693183749
779	0.1691503027
780	0.1691000651
781	0.1690630574
782	0.1689821946
783	0.1689323089
784	0.1688351038
785	0.1687178407
786	0.1685895466
787	0.1685017689
788	0.1684354607
789	0.1683833215
790	0.1683245372
791	0.1682564148
792	0.1681700226
793	0.1680106463
794	0.1679149886
795	0.1677891239
796	0.1677059041
797	0.1676038642
798	0.1675487485
799	0.1674843951
800	0.1673049834
801	0.1672179462
802	0.1670680433
803	0.1669989508
804	0.1669041515
805	0.1668119576
806	0.166739957
807	0.166673749
808	0.166609663
809	0.1665423513
810	0.1664716028
811	0.1663687031
812	0.1662820292
813	0.1662250165
814	0.1661455143
815	0.1660612566
816	0.1660032177
817	0.1659347513
818	0.1658812284
819	0.1658184002
820	0.1657523385
821	0.1656595443
822	0.1655108608
823	0.1654031797
824	0.1653232274
825	0.165265085
826	0.1651682222
827	0.1651343278
828	0.1650720126
829	0.1649968048
830	0.1649516119
831	0.1648885677
832	0.1648283483
833	0.1647608825
834	0.1646851982
835	0.1645907333
836	0.1645042997
837	0.1644318461
838	0.1643244376
839	0.1642495354
840	0.1641870654
841	0.1641530018
842	0.1640619311
843	0.1640344282
844	0.1639753636
845	0.1639034331
846	0.1638393458
847	0.163701688
848	0.1636567257
849	0.1635536217
850	0.1634832183
851	0.1634166487
852	0.1633149391
853	0.163281801
854	0.1632100055
855	0.1631234771
856	0.1630717327
857	0.1630155163
858	0.1629758004
859	0.1628671518
860	0.1628038734
861	0.162708866
862	0.1626554998
863	0.1625476055
864	0.1624295934
865	0.1623600626
866	0.1623041458
867	0.1621955589
868	0.1621099037
869	0.162024541
870	0.1619636141
871	0.1618908901
872	0.1618410323
873	0.1617819714
874	0.1617212644
875	0.1616609599
876	0.161594478
877	0.1615511463
878	0.1614808735
879	0.1614067567
880	0.1613291423
881	0.1612434284
882	0.1611049564
883	0.1610482153
884	0.1609771273
885	0.160889954
886	0.1608437604
887	0.1607966943
888	0.1607451013
889	0.1606270204
890	0.1605509777
891	0.160504609
892	0.1604476043
893	0.1604137751
894	0.1603136088
895	0.1602648688
896	0.1601260929
897	0.1599963563
898	0.1599335473
899	0.159851592
900	0.1597702659
901	0.159648974
902	0.1596236016
903	0.1595564022
904	0.159482517
905	0.1594111129
906	0.1593277829
907	0.1592799197
908	0.1592114302
909	0.1590852083
910	0.1590367121
911	0.1589483569
912	0.1588790175
913	0.1588376008
914	0.158807287
915	0.1587233016
916	0.1586198702
917	0.1585491431
918	0.158476717
919	0.1583747104
920	0.15829287
921	0.1582526207
922	0.1581183094
923	0.1580169381
924	0.1579513729
925	0.1578299287
926	0.1577643532
927	0.15772668
928	0.1576509352
929	0.1575640942
930	0.1574534513
931	0.1573608376
932	0.1572689714
933	0.1572001523
934	0.1570791998
935	0.1570304122
936	0.1569419521
937	0.1568939098
938	0.156865841
939	0.1567922944
940	0.1567365876
941	0.1566754348
942	0.1566205845
943	0.1565426068
944	0.1565012715
945	0.1564279712
946	0.1563459083
947	0.1562894498
948	0.1561409444
949	0.1560759041
950	0.1560110284
951	0.1559300281
952	0.1558718631
953	0.1557744397
954	0.155664354
955	0.1556127987
956	0.1555619572
957	0.1554998274
958	0.1554160359
959	0.1553510426
960	0.1552852991
961	0.1552251748
962	0.1551462715
963	0.1550799063
964	0.1550118839
965	0.1548749073
966	0.1547919077
967	0.1546540533
968	0.1545213801
969	0.154408144
970	0.1543469186
971	0.1543249889
972	0.1541997075
973	0.154131139
974	0.1540280787
975	0.153928637
976	0.1538852515
977	0.1538267996
978	0.1537560728
979	0.153604917
980	0.1535398822
981	0.1534699181
982	0.1533931202
983	0.1533219653
984	0.153267171
985	0.1532263133
986	0.1531858469
987	0.1531281525
988	0.1530680464
989	0.1530099067
990	0.1529397637
991	0.1528953299
992	0.1527663041
993	0.1527098228
994	0.1526670571
995	0.1526007588
996	0.152545922
997	0.1524952252
998	0.1524370445
999	0.1523766446
